index,country,year,subscriptions_per100
0,Afghanistan,1990,0
1,Afghanistan,1991,0
2,Afghanistan,1992,0
3,Afghanistan,1993,0
4,Afghanistan,1994,0
5,Afghanistan,1995,0
6,Afghanistan,1996,0
7,Afghanistan,1997,0
8,Afghanistan,1998,0
9,Afghanistan,1999,0
10,Afghanistan,2000,0
11,Afghanistan,2001,0.004188346
12,Afghanistan,2002,0.004092114
13,Afghanistan,2003,0.079875078
14,Afghanistan,2004,0.097163516
15,Afghanistan,2005,1.130397829
16,Afghanistan,2006,1.947423469
17,Afghanistan,2007,1.751202161
18,Afghanistan,2008,1.688485448
19,Afghanistan,2009,3.246305573
20,Afghanistan,2010,3.654114396
21,Afghanistan,2011,4.580669921
22,Albania,1990,0
23,Albania,1991,0
24,Albania,1992,0
25,Albania,1993,0
26,Albania,1994,0
27,Albania,1995,0.011168695
28,Albania,1996,0.032196828
29,Albania,1997,0.048593919
30,Albania,1998,0.06502737
31,Albania,1999,0.081437045
32,Albania,2000,0.114097347
33,Albania,2001,0.325798377
34,Albania,2002,0.390081273
35,Albania,2003,0.971900415
36,Albania,2004,2.420387798
37,Albania,2005,6.043890864
38,Albania,2006,9.609991316
39,Albania,2007,15.03611541
40,Albania,2008,23.86
41,Albania,2009,41.2
42,Albania,2010,45
43,Albania,2011,49
44,Algeria,1990,0
45,Algeria,1991,0
46,Algeria,1992,0
47,Algeria,1993,0
48,Algeria,1994,0.000360674
49,Algeria,1995,0.001768954
50,Algeria,1996,0.001738533
51,Algeria,1997,0.010268463
52,Algeria,1998,0.020238555
53,Algeria,1999,0.199523843
54,Algeria,2000,0.491705679
55,Algeria,2001,0.646114017
56,Algeria,2002,1.59164126
57,Algeria,2003,2.195359731
58,Algeria,2004,4.634475088
59,Algeria,2005,5.843942092
60,Algeria,2006,7.375984956
61,Algeria,2007,9.451190626
62,Algeria,2008,10.18
63,Algeria,2009,11.23
64,Algeria,2010,12.5
65,Algeria,2011,14
66,Andorra,1990,0
67,Andorra,1991,0
68,Andorra,1992,0
69,Andorra,1993,0
70,Andorra,1994,0
71,Andorra,1995,0
72,Andorra,1996,1.526601023
73,Andorra,1997,3.050175385
74,Andorra,1998,6.886209218
75,Andorra,1999,7.635686143
76,Andorra,2000,10.53883561
77,Andorra,2001,10.89965217
78,Andorra,2002,11.26046872
79,Andorra,2003,13.54641288
80,Andorra,2004,26.83795439
81,Andorra,2005,37.60576622
82,Andorra,2006,48.936847
83,Andorra,2007,70.87
84,Andorra,2008,70.04
85,Andorra,2009,78.53
86,Andorra,2010,81
87,Andorra,2011,81
88,Angola,1990,0
89,Angola,1991,0
90,Angola,1992,0
91,Angola,1993,0
92,Angola,1994,0
93,Angola,1995,0
94,Angola,1996,0.000775929
95,Angola,1997,0.005673746
96,Angola,1998,0.018453724
97,Angola,1999,0.071964087
98,Angola,2000,0.105045562
99,Angola,2001,0.136013867
100,Angola,2002,0.270376746
101,Angola,2003,0.370682065
102,Angola,2004,0.464814618
103,Angola,2005,1.143366827
104,Angola,2006,1.907647507
105,Angola,2007,3.2
106,Angola,2008,4.6
107,Angola,2009,6
108,Angola,2010,10
109,Angola,2011,14.776
110,Antigua and Barbuda,1990,0
111,Antigua and Barbuda,1991,0
112,Antigua and Barbuda,1992,0
113,Antigua and Barbuda,1993,0
114,Antigua and Barbuda,1994,0
115,Antigua and Barbuda,1995,2.200768802
116,Antigua and Barbuda,1996,2.858449577
117,Antigua and Barbuda,1997,3.480536838
118,Antigua and Barbuda,1998,4.0717165
119,Antigua and Barbuda,1999,5.300681138
120,Antigua and Barbuda,2000,6.482225737
121,Antigua and Barbuda,2001,8.899285515
122,Antigua and Barbuda,2002,12.5
123,Antigua and Barbuda,2003,17.22864878
124,Antigua and Barbuda,2004,24.26654372
125,Antigua and Barbuda,2005,34.7164029
126,Antigua and Barbuda,2006,62.63886919
127,Antigua and Barbuda,2007,70.06
128,Antigua and Barbuda,2008,75.03
129,Antigua and Barbuda,2009,74.2
130,Antigua and Barbuda,2010,80
131,Antigua and Barbuda,2011,82
132,Argentina,1990,0
133,Argentina,1991,0
134,Argentina,1992,0.002992874
135,Argentina,1993,0.029527065
136,Argentina,1994,0.043705951
137,Argentina,1995,0.086277081
138,Argentina,1996,0.141954704
139,Argentina,1997,0.280339882
140,Argentina,1998,0.83076668
141,Argentina,1999,3.284481956
142,Argentina,2000,7.038683086
143,Argentina,2001,9.780807285
144,Argentina,2002,10.88212438
145,Argentina,2003,11.91369655
146,Argentina,2004,16.03668411
147,Argentina,2005,17.72058337
148,Argentina,2006,20.9272021
149,Argentina,2007,25.94663294
150,Argentina,2008,28.11262348
151,Argentina,2009,34
152,Argentina,2010,40
153,Argentina,2011,47.704
154,Armenia,1990,0
155,Armenia,1991,0
156,Armenia,1992,0
157,Armenia,1993,0
158,Armenia,1994,0.009117014
159,Armenia,1995,0.052743123
160,Armenia,1996,0.094572902
161,Armenia,1997,0.111650935
162,Armenia,1998,0.128659478
163,Armenia,1999,0.970737757
164,Armenia,2000,1.300470022
165,Armenia,2001,1.631094667
166,Armenia,2002,1.960405046
167,Armenia,2003,4.575217225
168,Armenia,2004,4.899008571
169,Armenia,2005,5.252983352
170,Armenia,2006,5.631787777
171,Armenia,2007,6.021253397
172,Armenia,2008,6.21
173,Armenia,2009,15.3
174,Armenia,2010,10.755
175,Armenia,2011,13.0275
176,Aruba,1990,0
177,Aruba,1991,0
178,Aruba,1992,0
179,Aruba,1993,0
180,Aruba,1994,0
181,Aruba,1995,0
182,Aruba,1996,2.768382663
183,Aruba,1997,3.637280881
184,Aruba,1998,4.071729989
185,Aruba,1999,4.506179098
186,Aruba,2000,15.44282295
187,Aruba,2001,17.1
188,Aruba,2002,18.8
189,Aruba,2003,20.8
190,Aruba,2004,23
191,Aruba,2005,25.4
192,Aruba,2006,28
193,Aruba,2007,30.9
194,Aruba,2008,34.2
195,Aruba,2009,37.7
196,Aruba,2010,42
197,Aruba,2011,57.06835805
198,Australia,1990,0.586159397
199,Australia,1991,1.099529387
200,Australia,1992,1.772249769
201,Australia,1993,1.981363276
202,Australia,1994,2.240454351
203,Australia,1995,2.766742391
204,Australia,1996,3.276794752
205,Australia,1997,16.37656577
206,Australia,1998,30.85256168
207,Australia,1999,40.83096345
208,Australia,2000,46.78382556
209,Australia,2001,52.60563888
210,Australia,2002,57.81628758
211,Australia,2003,60.42161193
212,Australia,2004,61.72427411
213,Australia,2005,63.02693628
214,Australia,2006,66.1479411
215,Australia,2007,69.60650927
216,Australia,2008,71.7210626
217,Australia,2009,74.08290816
218,Australia,2010,75.89293106
219,Australia,2011,78.94807512
220,Austria,1990,0.130244795
221,Austria,1991,0.257901755
222,Austria,1992,0.637697351
